action,cumulative_reward
0,0.0
0,0.0
0,0.0
0,0.0
0,0.0
0,0.0
0,0.0
0,0.0
0,0.0
0,0.0
0,0.0
0,0.0
0,0.0
0,0.0
0,0.0
0,0.0
0,0.0
0,0.0
0,0.0
0,0.0
0,0.0
0,0.0
0,0.0
0,0.0
0,0.0
0,0.0
0,0.0
0,0.0
0,0.0
0,0.0
1,0.0
1,0.0
1,0.0
1,0.0
1,0.0
1,0.0
1,0.0
1,0.0
1,0.0
1,0.0
1,0.0
1,0.0
1,0.0
1,0.0
1,0.0
1,0.0
1,0.0
1,0.0
1,0.0
1,0.0
1,0.0
1,0.0
1,0.0
1,0.0
1,0.0
1,0.0
1,0.0
1,0.0
1,0.0
1,0.0
1,0.0
1,0.0
1,0.0
1,0.0
1,0.0
1,0.0
1,0.0
1,0.0
1,0.0
1,0.0
1,0.0
1,0.0
1,0.0
1,0.0
1,0.0
1,0.0
1,0.0
1,0.0
1,0.0
1,0.0
1,0.0
1,0.0
1,0.0
4,0.0
1,0.0
1,0.0
1,0.0
1,0.0
1,0.0
1,0.0
1,0.0
1,0.0
1,0.0
1,0.0
1,0.0
1,0.0
1,0.0
1,0.0
1,0.0
0,0.0
1,0.0
1,0.0
1,0.0
1,0.0
1,0.0
1,0.0
1,0.0
1,0.0
1,0.0
1,0.0
1,0.0
0,0.0
1,0.0
1,0.0
1,0.0
1,0.0
1,0.0
1,0.0
1,0.0
1,0.0
1,0.0
1,0.0
1,0.0
1,0.0
1,0.0
1,0.0
1,0.0
1,0.0
1,0.0
1,0.0
1,0.0
1,0.0
1,0.0
1,0.0
1,0.0
1,0.0
1,0.0
1,0.0
1,0.0
1,0.0
1,10.0
1,10.0
1,10.0
1,10.0
1,10.0
1,10.0
1,10.0
1,10.0
1,10.0
1,10.0
1,15.0
1,15.0
1,15.0
1,15.0
1,15.0
1,15.0
1,15.0
1,15.0
1,15.0
1,15.0
1,15.0
1,15.0
1,15.0
1,15.0
1,15.0
1,30.0
1,30.0
1,30.0
1,30.0
1,30.0
1,30.0
1,30.0
1,30.0
1,30.0
1,30.0
1,30.0
1,30.0
1,30.0
1,30.0
1,30.0
1,30.0
1,30.0
1,30.0
1,50.0
1,50.0
1,50.0
1,50.0
1,50.0
1,50.0
1,50.0
1,50.0
1,50.0
1,50.0
1,50.0
1,50.0
1,50.0
1,50.0
1,50.0
1,50.0
1,50.0
1,50.0
1,50.0
1,50.0
1,50.0
1,50.0
1,75.0
1,75.0
1,75.0
1,75.0
1,75.0
1,75.0
1,75.0
1,75.0
1,75.0
1,75.0
1,75.0
1,75.0
1,75.0
1,75.0
1,75.0
1,75.0
1,75.0
1,75.0
1,75.0
1,75.0
1,75.0
1,75.0
1,75.0
1,75.0
1,105.0
1,105.0
1,105.0
1,105.0
1,105.0
1,105.0
1,105.0
1,105.0
1,105.0
1,105.0
1,105.0
1,105.0
1,105.0
1,105.0
1,105.0
0,105.0
1,105.0
1,105.0
0,105.0
1,105.0
1,105.0
1,105.0
1,105.0
1,105.0
1,105.0
1,105.0
1,105.0
1,105.0
1,105.0
1,105.0
1,105.0
1,105.0
1,105.0
1,105.0
1,105.0
1,105.0
1,105.0
1,105.0
1,105.0
1,105.0
1,105.0
1,105.0
1,105.0
1,105.0
1,105.0
1,105.0
1,105.0
0,105.0
1,105.0
1,105.0
1,105.0
1,105.0
1,105.0
1,105.0
1,105.0
1,105.0
1,105.0
1,105.0
1,105.0
1,105.0
1,105.0
1,105.0
1,105.0
1,105.0
1,105.0
1,105.0
1,105.0
1,105.0
1,105.0
1,105.0
1,105.0
1,105.0
1,105.0
1,105.0
1,105.0
1,105.0
1,105.0
1,105.0
1,105.0
1,105.0
1,105.0
1,105.0
1,105.0
1,105.0
1,105.0
1,105.0
1,105.0
1,105.0
1,105.0
1,105.0
1,105.0
1,105.0
1,105.0
1,105.0
1,105.0
4,105.0
1,105.0
1,105.0
1,105.0
1,105.0
1,105.0
1,105.0
1,105.0
1,105.0
1,105.0
1,105.0
1,105.0
1,105.0
1,105.0
1,105.0
1,105.0
1,105.0
1,105.0
1,105.0
1,105.0
1,105.0
1,105.0
1,105.0
1,105.0
1,105.0
1,105.0
1,105.0
1,105.0
1,105.0
1,105.0
1,105.0
4,105.0
1,105.0
1,105.0
1,105.0
1,105.0
1,105.0
1,105.0
1,105.0
1,105.0
1,105.0
1,105.0
1,105.0
1,105.0
1,105.0
1,105.0
1,105.0
1,105.0
1,105.0
1,105.0
1,105.0
1,105.0
1,105.0
1,105.0
1,105.0
1,105.0
1,105.0
1,105.0
1,105.0
1,105.0
1,105.0
1,105.0
1,105.0
1,105.0
1,105.0
1,105.0
1,105.0
1,105.0
1,105.0
1,105.0
1,105.0
1,105.0
1,105.0
1,105.0
1,105.0
1,105.0
1,105.0
1,105.0
1,105.0
1,105.0
1,105.0
1,105.0
1,105.0
1,105.0
1,105.0
1,105.0
1,105.0
1,105.0
1,105.0
1,105.0
1,105.0
1,105.0
1,105.0
1,105.0
1,105.0
1,105.0
1,105.0
1,105.0
1,105.0
1,105.0
1,105.0
1,105.0
1,105.0
1,105.0
1,105.0
1,105.0
1,105.0
1,105.0
1,105.0
1,105.0
1,105.0
1,105.0
1,105.0
1,105.0
1,105.0
1,105.0
1,105.0
1,105.0
1,105.0
1,105.0
1,105.0
1,105.0
1,105.0
1,105.0
1,105.0
1,105.0
1,105.0
